,atomic_number,atomic_radius,atomic_radius_rahm,atomic_volume,atomic_weight,boiling_point,brinell_hardness,bulk_modulus,c6,c6_gb,covalent_radius_bragg,covalent_radius_cordero,covalent_radius_pyykko,covalent_radius_pyykko_double,covalent_radius_pyykko_triple,covalent_radius_slater,density,dipole_polarizability,electron_negativity,electron_affinity,en_allen,en_ghosh,en_pauling,first_ion_en,fusion_enthalpy,gs_bandgap,gs_energy,gs_est_bcc_latcnt,gs_est_fcc_latcnt,gs_mag_moment,gs_volume_per,hhi_p,hhi_r,heat_capacity_mass,heat_capacity_molar,icsd_volume,evaporation_heat,gas_basicity,heat_of_formation,lattice_constant,linear_expansion_coefficient,mendeleev_number,melting_point,metallic_radius,metallic_radius_c12,molar_volume,num_unfilled,num_valance,num_d_unfilled,num_d_valence,num_f_unfilled,num_f_valence,num_p_unfilled,num_p_valence,num_s_unfilled,num_s_valence,period,poissons_ratio,proton_affinity,specific_heat,thermal_conductivity,vdw_radius,vdw_radius_alvarez,vdw_radius_batsanov,vdw_radius_bondi,vdw_radius_dreiding,vdw_radius_mm3,vdw_radius_rt,vdw_radius_truhlar,vdw_radius_uff,sound_velocity,vickers_hardness,Polarizability,youngs_modulus
H,1,79.0,154.0,14.1,1.008,20.28,,,6.499026705,6.51,,31.0,32,,,25.0,0.0708,4.507107424,2.2,0.754195,13.61,0.2638,2.2,13.598443,0.06,7.853,-3.331290765,2.3651205490000002,2.979865165,0.0,6.615,,,14.304,28.836,32.02,0.904,,217.998,3.75,,103.0,14.01,,78.0,11.42,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,,,,0.1805,110.0,120.0,,120.0,319.5,162.0,110.0,,288.6,1270.0,,0.6667930000000001,
He,2,,134.0,31.8,4.0026019999999995,4.216,,,1.42,1.47,,28.0,46,,,,0.147,1.3837466999999999,4.16,-19.7,24.59,0.442712,,24.587387,,18.098,0.0011354000000000002,2.908733088,3.6647740460000002,0.0,12.305,3200.0,3900.0,5.13,20.785999999999998,19.08,0.08,148.5,,3.57,,1.0,0.95,,122.0,21.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,,177.8,5.188,0.1513,140.0,143.0,,140.0,,153.0,,,236.2,970.0,,0.20505189999999998,
Li,3,155.0,220.0,13.1,6.94,1118.15,,11.0,1392.0,1410.0,150.0,128.0,133,124.0,,145.0,0.534,164.0,0.98,0.618049,5.392,0.105093,0.98,5.391719,3.0,0.0,-1.86988691,3.2135708380000003,4.048845545,0.0,16.59333333,2900.0,4200.0,3.582,24.86,21.63,148.0,,159.3,3.49,4.6e-05,12.0,553.69,123.0,155.0,13.02,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,,,3.489,85.0,182.0,212.0,220.0,181.0,,255.0,,,245.1,6000.0,,24.33,4.9
Be,4,112.0,219.0,5.0,9.0121831,3243.0,600.0,130.0,227.0,214.0,115.0,96.0,102,90.0,85.0,105.0,1.848,37.71,1.57,-2.4,9.323,0.144986,1.57,9.3227,7.895,0.0,-3.755038695,2.508239481,3.160183721,0.0,7.89,8000.0,4000.0,1.825,16.442999999999998,8.11,309.0,,324.0,2.29,1.13e-05,77.0,1551.0,89.0,112.0,4.85,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,0.032,,1.824,190.0,153.0,198.0,190.0,,,223.0,,153.0,274.5,13000.0,1670.0,5.6,287.0
B,5,98.0,205.0,4.6,10.81,3931.0,,320.0,99.5,99.2,,84.0,85,78.0,73.0,85.0,2.34,20.53,2.04,0.279723,12.13,0.184886,2.04,8.29802,50.2,1.524,-6.677698154,2.429779429,3.0613302489999996,0.0,7.1725,2900.0,2000.0,1.026,11.087,7.75,504.5,,565.0,8.73,6e-06,86.0,2573.0,80.0,98.0,4.39,5.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,2,,,1.025,27.0,192.0,191.0,180.0,,402.0,215.0,,192.0,408.3,16200.0,49000.0,3.03,
C,6,91.0,190.0,5.3,12.011,5100.0,,33.0,46.6,47.9,77.0,73.0,75,67.0,60.0,70.0,2.25,20.53,2.55,1.262119,15.05,0.22477600000000003,2.55,11.2603,117.4,4.496,-9.209713655,2.242692341,2.825615289,0.0,5.64,500.0,500.0,0.7090000000000001,8.517000000000001,5.67,,,716.87,3.57,7.1e-06,95.0,3820.0,,86.0,5.29,4.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,2,,,0.711,140.0,170.0,177.0,170.0,170.0,389.83,204.0,177.0,,385.1,18350.0,,1.67,
N,7,92.0,179.0,17.3,14.007,77.4,,,24.2,25.7,65.0,71.0,71,60.0,54.0,65.0,0.8079999999999999,7.6,3.04,-1.4,18.13,0.26493,3.04,14.5341,0.355,6.437,-8.21144121,3.091182017,3.894645292,0.0,14.76875,1300.0,500.0,1.04,29.124000000000002,22.68,,318.7,472.44,4.039,,100.0,63.29,,53.0,13.54,3.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,2,,342.2,,0.025830000000000002,155.0,166.0,160.0,155.0,366.21,193.0,164.0,,366.0,333.6,,1.1,
O,8,,171.0,14.0,15.999,90.19,,,15.6,16.7,65.0,66.0,63,57.0,53.0,60.0,1.149,5.24,3.44,1.4611135,21.36,0.304575,3.44,13.61805,0.22,0.0,-4.756791905,2.6308937869999998,3.314718462,0.0,9.105,500.0,500.0,0.9179999999999999,29.378,17.36,,459.6,249.229,6.83,,101.0,54.8,,,17.36,2.0,6.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,2,,485.2,,0.02658,152.0,150.0,155.0,152.0,340.46,182.0,158.0,,350.0,317.5,,0.802,
F,9,,163.0,17.1,18.99840316,85.01,,,9.52,10.2,67.0,57.0,64,59.0,53.0,50.0,1.1079999999999999,3.7,3.98,3.4011897000000006,24.8,0.344443,3.98,17.4228,0.255,1.97,-1.6980609580000001,2.6876897289999997,3.386276865,0.0,9.7075,1500.0,1500.0,0.8240000000000001,31.304000000000002,16.42,6.54,315.1,79.335,,,102.0,53.53,,,11.2,1.0,7.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,2,,340.1,,0.0277,147.0,146.0,150.0,147.0,347.2,171.0,146.0,,336.4,,,0.557,
Ne,10,,156.0,16.8,20.1797,27.1,,,6.2,6.91,,58.0,67,96.0,,,1.204,2.67,4.79,,28.31,0.38439,,21.56454,0.16399999999999998,13.088,0.09403567,2.934893568,3.6977341860000004,0.0,12.64,,,1.03,20.785999999999998,23.09,1.74,174.4,,4.43,,2.0,48.0,,,13.23,0.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,2,,198.8,1.0290000000000001,0.0491,154.0,158.0,,154.0,,160.0,181.0,,324.3,936.0,,0.39432,
